rank,seed,area,water scale,water coverage,elevation type,farthest_tile_dist,hit_border
1,1925425905,7430080.0000,1,1,2.0,3625.7,0
2,1242203443,6515090.0000,1,1,2.0,3401.7,0
3,4158095281,6435840.0000,1,1,2.0,3049.6,0
4,3325248245,6164190.0000,1,1,2.0,3857.2,0
5,1935099995,6141340.0000,1,1,2.0,2814.1,0
6,852895900,6022020.0000,1,1,2.0,3000.7,0
7,4013092928,5953630.0000,1,1,2.0,3183.5,0
8,2008033529,5806260.0000,1,1,2.0,1969.8,0
9,809594710,5803970.0000,1,1,2.0,2621.7,0
10,3978504417,5427060.0000,1,1,2.0,3308.0,0
11,1393065451,4841570.0000,1,1,2.0,2693.6,0
12,3333577964,4809810.0000,1,1,2.0,1841.4,0
13,1792993061,4805820.0000,1,1,2.0,2364.6,0
14,2441714913,4746910.0000,1,1,2.0,1982.2,0
15,3053173162,4719280.0000,1,1,2.0,2191.5,0
16,1369118986,4673550.0000,1,1,2.0,2528.4,0
17,3709416753,4619200.0000,1,1,2.0,2397.0,0
18,3515114642,4546380.0000,1,1,2.0,2032.8,0
19,549765756,4448060.0000,1,1,2.0,1891.3,0
20,1733830412,4409420.0000,1,1,2.0,2150.4,0
21,1772203496,4266370.0000,1,1,2.0,2712.8,0
22,1230353457,4241740.0000,1,1,2.0,2258.3,0
23,946677085,4233070.0000,1,1,2.0,2343.5,0
24,3476183004,4232770.0000,1,1,2.0,1955.4,0
25,370419807,4225600.0000,1,1,2.0,2472.6,0
26,3488389741,4212350.0000,1,1,2.0,1836.2,0
27,2935904570,4182290.0000,1,1,2.0,2008.5,0
28,1716791563,4132110.0000,1,1,2.0,2656.7,0
29,2580294269,4112940.0000,1,1,2.0,2216.1,0
30,144776217,4112640.0000,1,1,2.0,2280.4,0
31,3594935413,4093410.0000,1,1,2.0,1982.5,0
32,1274439455,4062270.0000,1,1,2.0,1939.2,0
33,2964396242,4035520.0000,1,1,2.0,2892.8,0
34,4063354996,4034850.0000,1,1,2.0,1939.3,0
35,3404127724,4029200.0000,1,1,2.0,1911.5,0
36,3416655305,3973300.0000,1,1,2.0,1766.5,0
37,429945416,3956300.0000,1,1,2.0,2156.8,0
38,775231763,3949010.0000,1,1,2.0,1622.9,0
39,2076701733,3942530.0000,1,1,2.0,1791.6,0
40,2328329907,3873660.0000,1,1,2.0,2420.3,0
41,177809667,3832140.0000,1,1,2.0,2313.7,0
42,890210783,3803440.0000,1,1,2.0,2774.1,0
43,2185028671,3796800.0000,1,1,2.0,1794.4,0
44,198390024,3741810.0000,1,1,2.0,1933.6,0
45,3751719656,3741790.0000,1,1,2.0,1960.3,0
46,2763185522,3733460.0000,1,1,2.0,2617.9,0
47,2934443934,3699600.0000,1,1,2.0,2739.6,0
48,126316587,3674020.0000,1,1,2.0,1969.0,0
49,117368877,3650160.0000,1,1,2.0,2046.5,0
50,2529170541,3641340.0000,1,1,2.0,2334.1,0
51,3145946964,3631680.0000,1,1,2.0,1849.3,0
52,3986462684,3615020.0000,1,1,2.0,2174.1,0
53,2610120439,3589630.0000,1,1,2.0,1812.8,0
54,3161017458,3577090.0000,1,1,2.0,1868.0,0
55,2968952445,3568670.0000,1,1,2.0,1768.9,0
56,2870508674,3547570.0000,1,1,2.0,1939.5,0
57,2255119818,3532720.0000,1,1,2.0,1911.7,0
58,1701141951,3518080.0000,1,1,2.0,1770.8,0
59,2303228263,3513380.0000,1,1,2.0,2185.9,0
60,2364828586,3502050.0000,1,1,2.0,1925.1,0
61,3042942808,3499950.0000,1,1,2.0,1872.5,0
62,3175638772,3495250.0000,1,1,2.0,1880.2,0
63,1819291472,3494660.0000,1,1,2.0,2027.1,0
64,2589531638,3479410.0000,1,1,2.0,1848.5,0
65,1931267951,3469010.0000,1,1,2.0,2153.9,0
66,3503368661,3453660.0000,1,1,2.0,1743.8,0
